"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\package-lock.json", "JSON", 0, 62, 0, 0, 62
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\package.json", "JSON", 0, 2, 0, 0, 2
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\App.js", "JavaScript", 2, 0, 0, 0, 2
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\CartItemRow.js", "JavaScript", 47, 0, 0, 3, 50
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\CartTable.js", "JavaScript", 44, 0, 0, 2, 46
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\OrderSummary.js", "JavaScript", 69, 0, 0, 4, 73
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Cart.js", "JavaScript", -287, 0, 0, -18, -305
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Checkout.js", "JavaScript", 113, 0, 0, 6, 119
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Detail.js", "JavaScript", 16, 0, 1, 0, 17
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\Payment.js", "JavaScript", 25, 0, 0, 6, 31
"Total", "-", 29, 64, 1, 3, 97
