"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\App.js", "JavaScript", 2, 0, 0, 2
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\layouts\AdminLayout.js", "JavaScript", 2, 0, -1, 1
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Cart.js", "JavaScript", 55, 4, 7, 66
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Checkout.js", "JavaScript", 129, 7, 18, 154
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Order.js", "JavaScript", 415, 3, 23, 441
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\CategoryManager.js", "JavaScript", 290, 13, 15, 318
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\NewsManager.js", "JavaScript", 398, 11, 30, 439
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\OrderManager.js", "JavaScript", 461, 5, 16, 482
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\ProductManager.js", "JavaScript", 502, 4, 9, 515
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\UserManager.js", "JavaScript", 320, 9, 23, 352
"Total", "-", 2574, 56, 140, 2770
