"filename", "language", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\package-lock.json", "JSON", 0, 0, 1539, 0, 0, 1539
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\package.json", "JSON", 0, 0, 5, 0, 0, 5
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\AnimatedCounter.js", "JavaScript", 105, 0, 0, 3, 17, 125
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\Charts.js", "JavaScript", 468, 0, 0, 4, 23, 495
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\LoadingOverlay.js", "JavaScript", 46, 0, 0, 3, 6, 55
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\LoadingSpinner.js", "JavaScript", 102, 0, 0, 2, 11, 115
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\PermissionTable.js", "JavaScript", 85, 0, 0, 0, 2, 87
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\StatsTable.js", "JavaScript", 270, 0, 0, 5, 20, 295
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\index.css", "CSS", 0, 303, 0, 32, 72, 407
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\CategoryManager.js", "JavaScript", 2, 0, 0, 0, 0, 2
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\Dashboard.js", "JavaScript", 887, 0, 0, 9, 30, 926
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\NewsManager.js", "JavaScript", -95, 0, 0, 10, -28, -113
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\ProductManager.js", "JavaScript", -208, 0, 0, 5, 3, -200
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\UserManager.js", "JavaScript", -63, 0, 0, -10, -26, -99
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\trans.js", "JavaScript", 796, 0, 0, 29, 59, 884
"Total", "-", 2395, 303, 1544, 92, 189, 4523
