"filename", "language", "JavaScript", "CSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\.eslintrc.js", "JavaScript", 64, 0, 0, 0, 0, 13, 11, 88
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\README.md", "HTML", 0, 0, 0, 0, 38, 0, 33, 71
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\package-lock.json", "JSON", 0, 0, 0, 21345, 0, 0, 1, 21346
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\package.json", "JSON", 0, 0, 0, 68, 0, 0, 1, 69
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\public\index.html", "HTML", 0, 0, 0, 0, 28, 24, 1, 53
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\App.css", "CSS", 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\App.js", "JavaScript", 90, 0, 0, 0, 0, 0, 6, 96
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\AnimatedCounter.js", "JavaScript", 105, 0, 0, 0, 0, 3, 17, 125
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\ChangePassword.js", "JavaScript", 48, 0, 0, 0, 0, 0, 2, 50
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\Charts.js", "JavaScript", 468, 0, 0, 0, 0, 4, 23, 495
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\Footer.js", "JavaScript", 120, 0, 0, 0, 0, 0, 7, 127
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\Header.js", "JavaScript", 260, 0, 0, 0, 0, 1, 14, 275
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\LoadingOverlay.js", "JavaScript", 46, 0, 0, 0, 0, 3, 6, 55
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\LoadingSpinner.js", "JavaScript", 102, 0, 0, 0, 0, 2, 11, 115
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\PermissionTable.js", "JavaScript", 226, 0, 0, 0, 0, 1, 14, 241
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\StatsTable.js", "JavaScript", 270, 0, 0, 0, 0, 5, 20, 295
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\CardBanner.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\CardProduct.js", "JavaScript", 103, 0, 0, 0, 0, 3, 15, 121
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\CardReview.js", "JavaScript", 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\CardService.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\NewsCard.js", "JavaScript", 108, 0, 0, 0, 0, 5, 16, 129
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\CartItemRow.js", "JavaScript", 47, 0, 0, 0, 0, 0, 3, 50
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\CartTable.js", "JavaScript", 44, 0, 0, 0, 0, 0, 2, 46
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\OrderSummary.js", "JavaScript", 69, 0, 0, 0, 0, 0, 4, 73
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\contact\FacebookButton.js", "JavaScript", 42, 0, 0, 0, 0, 0, 2, 44
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\contact\HotlineButton.js", "JavaScript", 56, 0, 0, 0, 0, 0, 5, 61
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\contact\ZaloButton.js", "JavaScript", 58, 0, 0, 0, 0, 0, 4, 62
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\dashboard\DashboardCard.js", "JavaScript", 58, 0, 0, 0, 0, 5, 8, 71
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\dashboard\TableDashboard.js", "JavaScript", 34, 0, 0, 0, 0, 1, 5, 40
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\AllReviewsModal.js", "JavaScript", 147, 0, 0, 0, 0, 0, 5, 152
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\BreadcrumbNav.js", "JavaScript", 45, 0, 0, 0, 0, 0, 3, 48
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\DescriptionModal.js", "JavaScript", 38, 0, 0, 0, 0, 0, 3, 41
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductHeader.js", "JavaScript", 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductImages.js", "JavaScript", 42, 0, 0, 0, 0, 0, 2, 44
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductPrice.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductQuantity.js", "JavaScript", 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductReviews.js", "JavaScript", 81, 0, 0, 0, 0, 0, 7, 88
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\RelatedProducts.js", "JavaScript", 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ServiceFeatures.js", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ShareModal.js", "JavaScript", 59, 0, 0, 0, 0, 0, 6, 65
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\editor\CKEditorComponent.js", "JavaScript", 83, 0, 0, 0, 0, 1, 5, 89
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\filters\NewsFilters.js", "JavaScript", 142, 0, 0, 0, 0, 1, 8, 151
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\filters\ProductFilters.js", "JavaScript", 260, 0, 0, 0, 0, 2, 14, 276
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionBar.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionHeader.js", "JavaScript", 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionSideBar.js", "JavaScript", 65, 0, 0, 0, 0, 0, 7, 72
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\AccountInfo.js", "JavaScript", 136, 0, 0, 0, 0, 8, 20, 164
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\HelpSupport.js", "JavaScript", 313, 0, 0, 0, 0, 4, 21, 338
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\LanguageRegion.js", "JavaScript", 291, 0, 0, 0, 0, 13, 43, 347
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\NotificationSettings.js", "JavaScript", 395, 0, 0, 0, 0, 12, 37, 444
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\axios.js", "JavaScript", 137, 0, 0, 0, 0, 8, 29, 174
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\constant.js", "JavaScript", 183, 0, 0, 0, 0, 9, 12, 204
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\toast.js", "JavaScript", 35, 0, 0, 0, 0, 4, 3, 42
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\fontawesome.js", "JavaScript", 4, 0, 0, 0, 0, 3, 3, 10
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\guard\RequireAdminAuth.js", "JavaScript", 29, 0, 0, 0, 0, 7, 10, 46
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\guard\RequireAuth.js", "JavaScript", 18, 0, 0, 0, 0, 1, 3, 22
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\index.css", "CSS", 0, 682, 0, 0, 0, 58, 134, 874
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\index.js", "JavaScript", 13, 0, 0, 0, 0, 3, 2, 18
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\layouts\AdminLayout.js", "JavaScript", 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\layouts\MainLayout.js", "JavaScript", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\About.js", "JavaScript", 133, 0, 0, 0, 0, 1, 11, 145
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Cart.js", "JavaScript", 148, 0, 0, 0, 0, 6, 19, 173
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Checkout.js", "JavaScript", 242, 0, 0, 0, 0, 7, 24, 273
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Detail.js", "JavaScript", 358, 0, 0, 0, 0, 10, 42, 410
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Home.js", "JavaScript", 177, 0, 0, 0, 0, 1, 18, 196
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\News.js", "JavaScript", 184, 0, 0, 0, 0, 10, 27, 221
