"filename", "language", "JavaScript JSX", "JavaScript", "HTML", "JSON", "PostCSS", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\.eslintrc.js", "JavaScript", 0, -64, 0, 0, 0, 0, 0, -13, -11, -88
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\README.md", "HTML", 0, 0, -38, 0, 0, 0, 0, 0, -33, -71
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\package-lock.json", "JSON", 0, 0, 0, -21345, 0, 0, 0, 0, -1, -21346
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\package.json", "JSON", 0, 0, 0, -68, 0, 0, 0, 0, -1, -69
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\postcss.config.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, -1, -7
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\public\index.html", "HTML", 0, 0, -28, 0, 0, 0, 0, -24, -1, -53
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\public\manifest.json", "JSON", 0, 0, 0, -25, 0, 0, 0, 0, -1, -26
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, -24, 0, -4, -28
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\App.js", "JavaScript", 0, -90, 0, 0, 0, 0, 0, 0, -6, -96
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\App.test.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, 0, -2, -9
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\AnimatedCounter.js", "JavaScript", 0, -105, 0, 0, 0, 0, 0, -3, -17, -125
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\ChangePassword.js", "JavaScript", 0, -48, 0, 0, 0, 0, 0, 0, -2, -50
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\Charts.js", "JavaScript", 0, -468, 0, 0, 0, 0, 0, -4, -23, -495
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\Footer.js", "JavaScript", 0, -120, 0, 0, 0, 0, 0, 0, -7, -127
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\Header.js", "JavaScript", 0, -260, 0, 0, 0, 0, 0, -1, -14, -275
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\LoadingOverlay.js", "JavaScript", 0, -46, 0, 0, 0, 0, 0, -3, -6, -55
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\LoadingSpinner.js", "JavaScript", 0, -102, 0, 0, 0, 0, 0, -2, -11, -115
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\PermissionTable.js", "JavaScript", 0, -226, 0, 0, 0, 0, 0, -1, -14, -241
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\StatsTable.js", "JavaScript", 0, -270, 0, 0, 0, 0, 0, -5, -20, -295
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\CardBanner.js", "JavaScript", 0, -19, 0, 0, 0, 0, 0, 0, -3, -22
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\CardProduct.js", "JavaScript", 0, -103, 0, 0, 0, 0, 0, -3, -15, -121
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\CardReview.js", "JavaScript", 0, -29, 0, 0, 0, 0, 0, 0, -4, -33
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\CardService.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, 0, -1, -11
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\NewsCard.js", "JavaScript", 0, -108, 0, 0, 0, 0, 0, -5, -16, -129
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\CartItemRow.js", "JavaScript", 0, -47, 0, 0, 0, 0, 0, 0, -3, -50
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\CartTable.js", "JavaScript", 0, -44, 0, 0, 0, 0, 0, 0, -2, -46
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\OrderSummary.js", "JavaScript", 0, -69, 0, 0, 0, 0, 0, 0, -4, -73
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\contact\FacebookButton.js", "JavaScript", 0, -42, 0, 0, 0, 0, 0, 0, -2, -44
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\contact\HotlineButton.js", "JavaScript", 0, -56, 0, 0, 0, 0, 0, 0, -5, -61
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\contact\ZaloButton.js", "JavaScript", 0, -58, 0, 0, 0, 0, 0, 0, -4, -62
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\dashboard\DashboardCard.js", "JavaScript", 0, -58, 0, 0, 0, 0, 0, -5, -8, -71
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\dashboard\TableDashboard.js", "JavaScript", 0, -34, 0, 0, 0, 0, 0, -1, -5, -40
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\AllReviewsModal.js", "JavaScript", 0, -147, 0, 0, 0, 0, 0, 0, -5, -152
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\BreadcrumbNav.js", "JavaScript", 0, -45, 0, 0, 0, 0, 0, 0, -3, -48
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\DescriptionModal.js", "JavaScript", 0, -38, 0, 0, 0, 0, 0, 0, -3, -41
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductHeader.js", "JavaScript", 0, -25, 0, 0, 0, 0, 0, 0, -5, -30
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductImages.js", "JavaScript", 0, -42, 0, 0, 0, 0, 0, 0, -2, -44
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductPrice.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, 0, -3, -20
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductQuantity.js", "JavaScript", 0, -34, 0, 0, 0, 0, 0, 0, -4, -38
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductReviews.js", "JavaScript", 0, -81, 0, 0, 0, 0, 0, 0, -7, -88
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\RelatedProducts.js", "JavaScript", 0, -37, 0, 0, 0, 0, 0, 0, -4, -41
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ServiceFeatures.js", "JavaScript", 0, -22, 0, 0, 0, 0, 0, 0, -3, -25
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ShareModal.js", "JavaScript", 0, -59, 0, 0, 0, 0, 0, 0, -6, -65
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\editor\CKEditorComponent.js", "JavaScript", 0, -83, 0, 0, 0, 0, 0, -1, -5, -89
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\filters\NewsFilters.js", "JavaScript", 0, -142, 0, 0, 0, 0, 0, -1, -8, -151
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\filters\ProductFilters.js", "JavaScript", 0, -260, 0, 0, 0, 0, 0, -2, -14, -276
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionBar.js", "JavaScript", 0, -11, 0, 0, 0, 0, 0, 0, -3, -14
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionHeader.js", "JavaScript", 0, -20, 0, 0, 0, 0, 0, 0, -5, -25
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionSideBar.js", "JavaScript", 0, -65, 0, 0, 0, 0, 0, 0, -7, -72
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\AccountInfo.js", "JavaScript", 0, -136, 0, 0, 0, 0, 0, -8, -20, -164
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\HelpSupport.js", "JavaScript", 0, -313, 0, 0, 0, 0, 0, -4, -21, -338
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\LanguageRegion.js", "JavaScript", 0, -291, 0, 0, 0, 0, 0, -13, -43, -347
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\NotificationSettings.js", "JavaScript", 0, -395, 0, 0, 0, 0, 0, -12, -37, -444
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\axios.js", "JavaScript", 0, -137, 0, 0, 0, 0, 0, -8, -29, -174
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\constant.js", "JavaScript", 0, -183, 0, 0, 0, 0, 0, -9, -12, -204
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\toast.js", "JavaScript", 0, -35, 0, 0, 0, 0, 0, -4, -3, -42
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\fontawesome.js", "JavaScript", 0, -4, 0, 0, 0, 0, 0, -3, -3, -10
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\guard\RequireAdminAuth.js", "JavaScript", 0, -29, 0, 0, 0, 0, 0, -7, -10, -46
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\guard\RequireAuth.js", "JavaScript", 0, -18, 0, 0, 0, 0, 0, -1, -3, -22
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, -682, -58, -134, -874
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\index.js", "JavaScript", 0, -13, 0, 0, 0, 0, 0, -3, -2, -18
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\layouts\AdminLayout.js", "JavaScript", 0, -19, 0, 0, 0, 0, 0, 0, -2, -21
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\layouts\MainLayout.js", "JavaScript", 0, -16, 0, 0, 0, 0, 0, 0, -2, -18
