Date : 2025-08-08 02:20:29
Directory : e:\Workspace\Project-laptop-shop\client
Total : 210 files,  44911 codes, 2156 comments, 2922 blanks, all 49989 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          4 |     21,867 |          0 |          4 |     21,871 |
| JavaScript     |        126 |     18,166 |      2,056 |      1,679 |     21,901 |
| HTML           |         75 |      4,044 |         24 |      1,083 |      5,151 |
| PostCSS        |          3 |        769 |         63 |        145 |        977 |
| JavaScript JSX |          1 |         64 |         13 |         11 |         88 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |        210 |     44,911 |      2,156 |      2,922 |     49,989 |
| . (Files)                                                                               |          7 |     22,643 |         42 |        106 |     22,791 |
| docs                                                                                    |          1 |          0 |          0 |          1 |          1 |
| public                                                                                  |          2 |         53 |         24 |          2 |         79 |
| src                                                                                     |        200 |     22,215 |      2,090 |      2,813 |     27,118 |
| src (Files)                                                                             |          9 |        909 |         73 |        161 |      1,143 |
| src\components                                                                          |         98 |      5,925 |         85 |        665 |      6,675 |
| src\components (Files)                                                                  |          8 |      1,940 |         19 |        118 |      2,077 |
| src\components\card                                                                     |          8 |        377 |         12 |         44 |        433 |
| src\components\cart                                                                     |          3 |        152 |          0 |         10 |        162 |
| src\components\contact                                                                  |          3 |        156 |          0 |         11 |        167 |
| src\components\dashboard                                                                |          2 |         92 |          6 |         13 |        111 |
| src\components\detail                                                                   |         11 |        545 |          0 |         45 |        590 |
| src\components\editor                                                                   |          1 |         41 |          3 |          5 |         49 |
| src\components\filters                                                                  |          2 |        252 |          7 |         24 |        283 |
| src\components\md                                                                       |         48 |        748 |          0 |        241 |        989 |
| src\components\permission                                                               |          4 |        264 |          0 |         11 |        275 |
| src\components\section                                                                  |          3 |        105 |          0 |         16 |        121 |
| src\components\setting                                                                  |          5 |      1,253 |         38 |        127 |      1,418 |
| src\config                                                                              |          7 |      1,469 |        301 |        251 |      2,021 |
| src\config (Files)                                                                      |          4 |        642 |        301 |         57 |      1,000 |
| src\config\md                                                                           |          3 |        827 |          0 |        194 |      1,021 |
| src\context                                                                             |          2 |        131 |         14 |         22 |        167 |
| src\guard                                                                               |          5 |        602 |        139 |        189 |        930 |
| src\guard (Files)                                                                       |          3 |         64 |        139 |         28 |        231 |
| src\guard\md                                                                            |          2 |        538 |          0 |        161 |        699 |
| src\layouts                                                                             |          4 |        541 |         87 |        162 |        790 |
| src\layouts (Files)                                                                     |          2 |         49 |         87 |          8 |        144 |
| src\layouts\md                                                                          |          2 |        492 |          0 |        154 |        646 |
| src\pages                                                                               |         27 |      9,352 |        240 |        660 |     10,252 |
| src\pages (Files)                                                                       |         16 |      4,029 |         98 |        352 |      4,479 |
| src\pages\admin                                                                         |          9 |      4,876 |        141 |        273 |      5,290 |
| src\pages\auth                                                                          |          2 |        447 |          1 |         35 |        483 |
| src\styles                                                                              |          1 |          0 |          0 |          1 |          1 |
| src\trash                                                                               |         19 |        862 |        579 |        140 |      1,581 |
| src\utils                                                                               |         28 |      2,424 |        572 |        562 |      3,558 |
| src\utils (Files)                                                                       |         12 |      1,111 |        572 |        274 |      1,957 |
| src\utils\md                                                                            |         16 |      1,313 |          0 |        288 |      1,601 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| e:\Workspace\Project-laptop-shop\client\.eslintrc.js                                    | JavaScript JSX |         64 |         13 |         11 |         88 |
| e:\Workspace\Project-laptop-shop\client\README.md                                       | HTML           |         38 |          0 |         33 |         71 |
| e:\Workspace\Project-laptop-shop\client\docs\dropdown.md                                | HTML           |          0 |          0 |          1 |          1 |
| e:\Workspace\Project-laptop-shop\client\package-lock.json                               | JSON           |     21,655 |          0 |          1 |     21,656 |
| e:\Workspace\Project-laptop-shop\client\package.json                                    | JSON           |         77 |          0 |          1 |         78 |
| e:\Workspace\Project-laptop-shop\client\postcss.config.js                               | JavaScript     |          6 |          0 |          1 |          7 |
| e:\Workspace\Project-laptop-shop\client\public\index.html                               | HTML           |         28 |         24 |          1 |         53 |
| e:\Workspace\Project-laptop-shop\client\public\manifest.json                            | JSON           |         25 |          0 |          1 |         26 |
| e:\Workspace\Project-laptop-shop\client\src\App.css                                     | PostCSS        |         53 |          4 |          6 |         63 |
| e:\Workspace\Project-laptop-shop\client\src\App.js                                      | JavaScript     |        102 |          0 |          7 |        109 |
| e:\Workspace\Project-laptop-shop\client\src\App.test.js                                 | JavaScript     |          7 |          0 |          2 |          9 |
| e:\Workspace\Project-laptop-shop\client\src\components\AnimatedCounter.js               | JavaScript     |        105 |          3 |         17 |        125 |
| e:\Workspace\Project-laptop-shop\client\src\components\Charts.js                        | JavaScript     |        468 |          4 |         23 |        495 |
| e:\Workspace\Project-laptop-shop\client\src\components\Footer.js                        | JavaScript     |         83 |          0 |          7 |         90 |
| e:\Workspace\Project-laptop-shop\client\src\components\Header.js                        | JavaScript     |        292 |          4 |         16 |        312 |
| e:\Workspace\Project-laptop-shop\client\src\components\LoadingProgressBar.js            | JavaScript     |         52 |          0 |          6 |         58 |
| e:\Workspace\Project-laptop-shop\client\src\components\NotificationsPanel.js            | JavaScript     |        444 |          2 |         15 |        461 |
| e:\Workspace\Project-laptop-shop\client\src\components\PermissionTable.js               | JavaScript     |        226 |          1 |         14 |        241 |
| e:\Workspace\Project-laptop-shop\client\src\components\StatsTable.js                    | JavaScript     |        270 |          5 |         20 |        295 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardBanner.js               | JavaScript     |         19 |          0 |          3 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardPermission.js           | JavaScript     |         58 |          0 |          3 |         61 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardProduct.js              | JavaScript     |         84 |          3 |         13 |        100 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardProductLarge.js         | JavaScript     |         55 |          3 |          2 |         60 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardPromoHalfImage.js       | JavaScript     |         27 |          0 |          2 |         29 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardReview.js               | JavaScript     |         29 |          0 |          4 |         33 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardService.js              | JavaScript     |         10 |          0 |          1 |         11 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\NewsCard.js                 | JavaScript     |         95 |          6 |         16 |        117 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\CartItemRow.js              | JavaScript     |         47 |          0 |          3 |         50 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\CartTable.js                | JavaScript     |         36 |          0 |          3 |         39 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\OrderSummary.js             | JavaScript     |         69 |          0 |          4 |         73 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\FacebookButton.js        | JavaScript     |         42 |          0 |          2 |         44 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\HotlineButton.js         | JavaScript     |         56 |          0 |          5 |         61 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\ZaloButton.js            | JavaScript     |         58 |          0 |          4 |         62 |
| e:\Workspace\Project-laptop-shop\client\src\components\dashboard\DashboardCard.js       | JavaScript     |         58 |          5 |          8 |         71 |
| e:\Workspace\Project-laptop-shop\client\src\components\dashboard\TableDashboard.js      | JavaScript     |         34 |          1 |          5 |         40 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\AllReviewsModal.js        | JavaScript     |        145 |          0 |          5 |        150 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\BreadcrumbNav.js          | JavaScript     |         45 |          0 |          3 |         48 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\DescriptionModal.js       | JavaScript     |         38 |          0 |          3 |         41 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductHeader.js          | JavaScript     |         25 |          0 |          5 |         30 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductImages.js          | JavaScript     |         42 |          0 |          2 |         44 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductPrice.js           | JavaScript     |         17 |          0 |          3 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductQuantity.js        | JavaScript     |         34 |          0 |          4 |         38 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductReviews.js         | JavaScript     |         81 |          0 |          7 |         88 |
