"filename", "language", "JavaScript", "CSS", "HTML", "PostCSS", "comment", "blank", "total"
"e:\Workspace\Project-laptop-shop\client\README.md", "HTML", 0, 0, 148, 0, 0, 58, 206
"e:\Workspace\Project-laptop-shop\client\docs\CART_ANIMATION.md", "HTML", 0, 0, 85, 0, 0, 19, 104
"e:\Workspace\Project-laptop-shop\client\public\index.html", "HTML", 0, 0, 7, 0, 0, 0, 7
"e:\Workspace\Project-laptop-shop\client\src\App.css", "PostCSS", 0, 0, 0, -53, -4, -6, -63
"e:\Workspace\Project-laptop-shop\client\src\App.js", "JavaScript", 1, 0, 0, 0, 0, -1, 0
"e:\Workspace\Project-laptop-shop\client\src\components\CartAnimation.js", "JavaScript", 51, 0, 0, 0, 3, 11, 65
"e:\Workspace\Project-laptop-shop\client\src\components\Header.js", "JavaScript", 6, 0, 0, 0, 0, 1, 7
"e:\Workspace\Project-laptop-shop\client\src\components\LoadingProgressBar.js", "JavaScript", -52, 0, 0, 0, 0, -6, -58
"e:\Workspace\Project-laptop-shop\client\src\components\NotificationsPanel.js", "JavaScript", 33, 0, 0, 0, 4, 15, 52
"e:\Workspace\Project-laptop-shop\client\src\components\OTPInput.js", "JavaScript", 101, 0, 0, 0, 8, 19, 128
"e:\Workspace\Project-laptop-shop\client\src\components\SocialIconsController.js", "JavaScript", 5, 0, 0, 0, 1, 7, 13
"e:\Workspace\Project-laptop-shop\client\src\components\cart\CartItemRow.js", "JavaScript", 19, 0, 0, 0, 0, 0, 19
"e:\Workspace\Project-laptop-shop\client\src\components\cart\CartTable.js", "JavaScript", 10, 0, 0, 0, 0, 1, 11
"e:\Workspace\Project-laptop-shop\client\src\components\filters\NewsFilters.js", "JavaScript", -82, 0, 0, 0, 0, -1, -83
"e:\Workspace\Project-laptop-shop\client\src\components\md\AUTH_SPLASH_SCREEN.md", "HTML", 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\Project-laptop-shop\client\src\components\md\SPLASH_SCREEN.md", "HTML", 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\Project-laptop-shop\client\src\components\progress\AdvancedScrollProgressBar.js", "JavaScript", 93, 0, 0, 0, 3, 13, 109
"e:\Workspace\Project-laptop-shop\client\src\components\progress\LoadingProgressBar.js", "JavaScript", 52, 0, 0, 0, 0, 6, 58
"e:\Workspace\Project-laptop-shop\client\src\components\progress\ScrollProgressBar.js", "JavaScript", 30, 0, 0, 0, 1, 9, 40
