"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "XML", "comment", "blank", "total"
"e:\Workspace\Project-laptop-shop\client\.eslintrc.js", "JavaScript", 64, 0, 0, 0, 0, 13, 11, 88
"e:\Workspace\Project-laptop-shop\client\README.md", "HTML", 0, 186, 0, 0, 0, 0, 91, 277
"e:\Workspace\Project-laptop-shop\client\docs\CART_ANIMATION.md", "HTML", 0, 85, 0, 0, 0, 0, 19, 104
"e:\Workspace\Project-laptop-shop\client\docs\dropdown.md", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\Project-laptop-shop\client\package-lock.json", "JSON", 0, 0, 21655, 0, 0, 0, 1, 21656
"e:\Workspace\Project-laptop-shop\client\package.json", "JSON", 0, 0, 77, 0, 0, 0, 1, 78
"e:\Workspace\Project-laptop-shop\client\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"e:\Workspace\Project-laptop-shop\client\public\index.html", "HTML", 0, 35, 0, 0, 0, 24, 1, 60
"e:\Workspace\Project-laptop-shop\client\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"e:\Workspace\Project-laptop-shop\client\src\App.js", "JavaScript", 103, 0, 0, 0, 0, 0, 6, 109
"e:\Workspace\Project-laptop-shop\client\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"e:\Workspace\Project-laptop-shop\client\src\components\AnimatedCounter.js", "JavaScript", 105, 0, 0, 0, 0, 3, 17, 125
"e:\Workspace\Project-laptop-shop\client\src\components\CartAnimation.js", "JavaScript", 51, 0, 0, 0, 0, 3, 11, 65
"e:\Workspace\Project-laptop-shop\client\src\components\Charts.js", "JavaScript", 468, 0, 0, 0, 0, 4, 23, 495
"e:\Workspace\Project-laptop-shop\client\src\components\Footer.js", "JavaScript", 83, 0, 0, 0, 0, 0, 7, 90
"e:\Workspace\Project-laptop-shop\client\src\components\Header.js", "JavaScript", 298, 0, 0, 0, 0, 4, 17, 319
"e:\Workspace\Project-laptop-shop\client\src\components\NotificationsPanel.js", "JavaScript", 477, 0, 0, 0, 0, 6, 30, 513
"e:\Workspace\Project-laptop-shop\client\src\components\OTPInput.js", "JavaScript", 101, 0, 0, 0, 0, 8, 19, 128
"e:\Workspace\Project-laptop-shop\client\src\components\PermissionTable.js", "JavaScript", 226, 0, 0, 0, 0, 1, 14, 241
"e:\Workspace\Project-laptop-shop\client\src\components\SocialIconsController.js", "JavaScript", 5, 0, 0, 0, 0, 1, 7, 13
"e:\Workspace\Project-laptop-shop\client\src\components\StatsTable.js", "JavaScript", 270, 0, 0, 0, 0, 5, 20, 295
