"filename", "language", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"e:\Workspace\Project-laptop-shop\client\README.md", "HTML", 0, 156, 0, 0, 44, 200
"e:\Workspace\Project-laptop-shop\client\src\App.css", "CSS", 0, 0, 0, 0, 1, 1
"e:\Workspace\Project-laptop-shop\client\src\App.js", "JavaScript", 8, 0, 0, 0, 0, 8
"e:\Workspace\Project-laptop-shop\client\src\components\Header.js", "JavaScript", 216, 0, 0, 2, 9, 227
"e:\Workspace\Project-laptop-shop\client\src\components\LoadingProgressBar.js", "JavaScript", 0, 0, 0, 0, 1, 1
"e:\Workspace\Project-laptop-shop\client\src\components\NotificationsPanel.js", "JavaScript", -26, 0, 0, 0, 2, -24
"e:\Workspace\Project-laptop-shop\client\src\components\admin\AdminDeviceWarning.js", "JavaScript", 30, 0, 0, 1, 5, 36
"e:\Workspace\Project-laptop-shop\client\src\components\admin\DesktopOnlyRoute.js", "JavaScript", 52, 0, 0, 3, 6, 61
"e:\Workspace\Project-laptop-shop\client\src\components\admin\MobileAdminRedirect.js", "JavaScript", 70, 0, 0, 3, 7, 80
"e:\Workspace\Project-laptop-shop\client\src\components\admin\README.md", "HTML", 0, 90, 0, 0, 29, 119
"e:\Workspace\Project-laptop-shop\client\src\components\card\CardPromoHalfImage.js", "JavaScript", 2, 0, 0, 0, 0, 2
"e:\Workspace\Project-laptop-shop\client\src\hooks\useDeviceDetection.js", "JavaScript", 36, 0, 0, 8, 11, 55
"e:\Workspace\Project-laptop-shop\client\src\layouts\MainLayout.js", "JavaScript", 0, 0, 0, 10, 0, 10
"e:\Workspace\Project-laptop-shop\client\src\pages\About.js", "JavaScript", 18, 0, 0, 0, 0, 18
"e:\Workspace\Project-laptop-shop\client\src\pages\FavoriteProduct.js", "JavaScript", 9, 0, 0, 0, 1, 10
"e:\Workspace\Project-laptop-shop\client\src\pages\Feedback.js", "JavaScript", -392, 0, 0, -9, -16, -417
"e:\Workspace\Project-laptop-shop\client\src\pages\Home.js", "JavaScript", 42, 0, 0, 2, 0, 44
"e:\Workspace\Project-laptop-shop\client\src\pages\News.js", "JavaScript", 9, 0, 0, 0, 0, 9
"e:\Workspace\Project-laptop-shop\client\src\pages\Product.js", "JavaScript", 11, 0, 0, 0, 0, 11
"e:\Workspace\Project-laptop-shop\client\src\pages\Setting.js", "JavaScript", 75, 0, 0, 3, 6, 84
"e:\Workspace\Project-laptop-shop\client\src\styles\README.md", "HTML", 0, 82, 0, 0, 15, 97
"e:\Workspace\Project-laptop-shop\client\src\styles\animations.css", "CSS", 0, 0, 120, 6, 20, 146
"e:\Workspace\Project-laptop-shop\client\src\styles\antd-overrides.css", "CSS", 0, 0, 110, 14, 30, 154
"e:\Workspace\Project-laptop-shop\client\src\styles\components.css", "CSS", 0, 0, 137, 11, 28, 176
"e:\Workspace\Project-laptop-shop\client\src\styles\content-wrapper.css", "CSS", 0, 0, 213, 13, 38, 264
"e:\Workspace\Project-laptop-shop\client\src\styles\index.css", "CSS", 0, 0, 17, 3, 2, 22
"e:\Workspace\Project-laptop-shop\client\src\styles\utilities.css", "CSS", 0, 0, 59, 7, 17, 83
"e:\Workspace\Project-laptop-shop\client\src\trash\Feedback.js", "JavaScript", 392, 0, 0, 9, 16, 417
"e:\Workspace\Project-laptop-shop\client\src\utils\deviceUtils.js", "JavaScript", 40, 0, 0, 7, 13, 60
"Total", "-", 592, 328, 656, 93, 285, 1954
