Date : 2025-08-10 14:04:31
Directory : e:\Workspace\Project-laptop-shop\client
Total : 244 files,  49396 codes, 2517 comments, 3708 blanks, all 55621 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     21,867 |          0 |          4 |     21,871 |
| JavaScript |        148 |     20,873 |      2,322 |      2,063 |     25,258 |
| HTML       |         80 |      4,612 |         24 |      1,250 |      5,886 |
| CSS        |         11 |      2,043 |        171 |        391 |      2,605 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        244 |     49,396 |      2,517 |      3,708 |     55,621 |
| . (Files)                                                                                    |          6 |     22,151 |         13 |        149 |     22,313 |
| docs                                                                                         |          2 |         85 |          0 |         20 |        105 |
| public                                                                                       |          2 |         60 |         24 |          2 |         86 |
| src                                                                                          |        234 |     27,100 |      2,480 |      3,537 |     33,117 |
| src (Files)                                                                                  |          8 |        149 |         10 |         17 |        176 |
| src\components                                                                               |        112 |      5,902 |        106 |        765 |      6,773 |
| src\components (Files)                                                                       |         11 |      2,274 |         37 |        177 |      2,488 |
| src\components\admin                                                                         |          4 |        242 |          7 |         47 |        296 |
| src\components\card                                                                          |          8 |        379 |         12 |         44 |        435 |
| src\components\cart                                                                          |          3 |        181 |          0 |         11 |        192 |
| src\components\contact                                                                       |          3 |        156 |          0 |         11 |        167 |
| src\components\dashboard                                                                     |          2 |         92 |          6 |         13 |        111 |
| src\components\detail                                                                        |         11 |        545 |          0 |         45 |        590 |
| src\components\editor                                                                        |          1 |         41 |          3 |          5 |         49 |
| src\components\filters                                                                       |          2 |        170 |          7 |         23 |        200 |
| src\components\md                                                                            |         50 |        748 |          0 |        243 |        991 |
| src\components\permission                                                                    |          4 |        264 |          0 |         11 |        275 |
| src\components\progress                                                                      |          4 |        186 |          4 |         32 |        222 |
| src\components\section                                                                       |          3 |         97 |          8 |         16 |        121 |
| src\components\splash                                                                        |          6 |        527 |         22 |         87 |        636 |
| src\config                                                                                   |          7 |      1,469 |        301 |        251 |      2,021 |
| src\config (Files)                                                                           |          4 |        642 |        301 |         57 |      1,000 |
| src\config\md                                                                                |          3 |        827 |          0 |        194 |      1,021 |
| src\context                                                                                  |          2 |        195 |         24 |         32 |        251 |
| src\guard                                                                                    |          5 |        602 |        139 |        189 |        930 |
| src\guard (Files)                                                                            |          3 |         64 |        139 |         28 |        231 |
| src\guard\md                                                                                 |          2 |        538 |          0 |        161 |        699 |
| src\hooks                                                                                    |          1 |         36 |          8 |         11 |         55 |
| src\layouts                                                                                  |          4 |        541 |         97 |        162 |        800 |
| src\layouts (Files)                                                                          |          2 |         49 |         97 |          8 |        154 |
| src\layouts\md                                                                               |          2 |        492 |          0 |        154 |        646 |
| src\pages                                                                                    |         32 |     11,365 |        414 |        886 |     12,665 |
| src\pages (Files)                                                                            |         15 |      3,850 |        109 |        367 |      4,326 |
| src\pages\admin                                                                              |          9 |      4,876 |        141 |        273 |      5,290 |
| src\pages\auth                                                                               |          3 |      1,043 |         26 |         79 |      1,148 |
| src\pages\setting                                                                            |          5 |      1,596 |        138 |        167 |      1,901 |
| src\styles                                                                                   |         11 |      2,125 |        171 |        405 |      2,701 |
| src\trash                                                                                    |         23 |      2,252 |        631 |        244 |      3,127 |
| src\utils                                                                                    |         29 |      2,464 |        579 |        575 |      3,618 |
| src\utils (Files)                                                                            |         13 |      1,151 |        579 |        287 |      2,017 |
| src\utils\md                                                                                 |         16 |      1,313 |          0 |        288 |      1,601 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                     | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\Workspace\Project-laptop-shop\client\.eslintrc.js                                         | JavaScript |         64 |         13 |         11 |         88 |
| e:\Workspace\Project-laptop-shop\client\README.md                                            | HTML       |        342 |          0 |        135 |        477 |
| e:\Workspace\Project-laptop-shop\client\docs\CART_ANIMATION.md                               | HTML       |         85 |          0 |         19 |        104 |
| e:\Workspace\Project-laptop-shop\client\docs\dropdown.md                                     | HTML       |          0 |          0 |          1 |          1 |
| e:\Workspace\Project-laptop-shop\client\package-lock.json                                    | JSON       |     21,655 |          0 |          1 |     21,656 |
| e:\Workspace\Project-laptop-shop\client\package.json                                         | JSON       |         77 |          0 |          1 |         78 |
| e:\Workspace\Project-laptop-shop\client\postcss.config.js                                    | JavaScript |          6 |          0 |          1 |          7 |
| e:\Workspace\Project-laptop-shop\client\public\index.html                                    | HTML       |         35 |         24 |          1 |         60 |
| e:\Workspace\Project-laptop-shop\client\public\manifest.json                                 | JSON       |         25 |          0 |          1 |         26 |
| e:\Workspace\Project-laptop-shop\client\src\App.css                                          | CSS        |          0 |          0 |          1 |          1 |
| e:\Workspace\Project-laptop-shop\client\src\App.js                                           | JavaScript |        111 |          0 |          6 |        117 |
| e:\Workspace\Project-laptop-shop\client\src\App.test.js                                      | JavaScript |          7 |          0 |          2 |          9 |
| e:\Workspace\Project-laptop-shop\client\src\components\AnimatedCounter.js                    | JavaScript |        105 |          3 |         17 |        125 |
| e:\Workspace\Project-laptop-shop\client\src\components\CartAnimation.js                      | JavaScript |         51 |          3 |         11 |         65 |
| e:\Workspace\Project-laptop-shop\client\src\components\Charts.js                             | JavaScript |        468 |          4 |         23 |        495 |
| e:\Workspace\Project-laptop-shop\client\src\components\Footer.js                             | JavaScript |         83 |          0 |          7 |         90 |
| e:\Workspace\Project-laptop-shop\client\src\components\Header.js                             | JavaScript |        514 |          6 |         26 |        546 |
| e:\Workspace\Project-laptop-shop\client\src\components\LoadingProgressBar.js                 | JavaScript |          0 |          0 |          1 |          1 |
| e:\Workspace\Project-laptop-shop\client\src\components\NotificationsPanel.js                 | JavaScript |        451 |          6 |         32 |        489 |
| e:\Workspace\Project-laptop-shop\client\src\components\OTPInput.js                           | JavaScript |        101 |          8 |         19 |        128 |
| e:\Workspace\Project-laptop-shop\client\src\components\PermissionTable.js                    | JavaScript |        226 |          1 |         14 |        241 |
| e:\Workspace\Project-laptop-shop\client\src\components\SocialIconsController.js              | JavaScript |          5 |          1 |          7 |         13 |
| e:\Workspace\Project-laptop-shop\client\src\components\StatsTable.js                         | JavaScript |        270 |          5 |         20 |        295 |
| e:\Workspace\Project-laptop-shop\client\src\components\admin\AdminDeviceWarning.js           | JavaScript |         30 |          1 |          5 |         36 |
| e:\Workspace\Project-laptop-shop\client\src\components\admin\DesktopOnlyRoute.js             | JavaScript |         52 |          3 |          6 |         61 |
| e:\Workspace\Project-laptop-shop\client\src\components\admin\MobileAdminRedirect.js          | JavaScript |         70 |          3 |          7 |         80 |
| e:\Workspace\Project-laptop-shop\client\src\components\admin\README.md                       | HTML       |         90 |          0 |         29 |        119 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardBanner.js                    | JavaScript |         19 |          0 |          3 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardPermission.js                | JavaScript |         58 |          0 |          3 |         61 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardProduct.js                   | JavaScript |         84 |          3 |         13 |        100 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardProductLarge.js              | JavaScript |         55 |          3 |          2 |         60 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardPromoHalfImage.js            | JavaScript |         29 |          0 |          2 |         31 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardReview.js                    | JavaScript |         29 |          0 |          4 |         33 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardService.js                   | JavaScript |         10 |          0 |          1 |         11 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\NewsCard.js                      | JavaScript |         95 |          6 |         16 |        117 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\CartItemRow.js                   | JavaScript |         66 |          0 |          3 |         69 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\CartTable.js                     | JavaScript |         46 |          0 |          4 |         50 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\OrderSummary.js                  | JavaScript |         69 |          0 |          4 |         73 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\FacebookButton.js             | JavaScript |         42 |          0 |          2 |         44 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\HotlineButton.js              | JavaScript |         56 |          0 |          5 |         61 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\ZaloButton.js                 | JavaScript |         58 |          0 |          4 |         62 |
